run	family	rung	budget	consensus_n	prediction	bound
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
CWhiteFocus_AutoFocus_20220429_000244_attempt01	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D01_ultrawide_40mm	A	0.00	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D01_ultrawide_40mm	A	0.00	2	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
D01_ultrawide_40mm	A	0.00	3	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
D01_ultrawide_40mm	A	0.25	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D01_ultrawide_40mm	A	0.25	2	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
D01_ultrawide_40mm	A	0.25	3	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
D01_ultrawide_40mm	A	0.50	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D01_ultrawide_40mm	A	0.50	2	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
D01_ultrawide_40mm	A	0.50	3	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
D01_ultrawide_40mm	A	1.00	1	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D01_ultrawide_40mm	A	1.00	2	2	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D01_ultrawide_40mm	A	1.00	3	2	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D01_ultrawide_40mm	B	0.50	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D01_ultrawide_40mm	B	0.50	2	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
D01_ultrawide_40mm	B	0.50	3	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
D01_ultrawide_40mm	B	1.00	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D01_ultrawide_40mm	B	1.00	2	2	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D01_ultrawide_40mm	B	1.00	3	2	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D02_rich_135mm	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D02_rich_135mm	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D03_redcat_250mm	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D04_esprit_550mm	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D05_tec140_1000mm	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D06_sparse_1000mm	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D07_rc10_2000mm	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D08_c11_2800mm	A	0.00	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D08_c11_2800mm	A	0.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D08_c11_2800mm	A	0.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D08_c11_2800mm	A	0.25	1	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D08_c11_2800mm	A	0.25	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D08_c11_2800mm	A	0.25	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D08_c11_2800mm	A	0.50	1	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D08_c11_2800mm	A	0.50	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D08_c11_2800mm	A	0.50	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D08_c11_2800mm	A	1.00	1	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D08_c11_2800mm	A	1.00	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D08_c11_2800mm	A	1.00	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D08_c11_2800mm	B	0.50	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D08_c11_2800mm	B	0.50	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D08_c11_2800mm	B	0.50	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D08_c11_2800mm	B	1.00	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D08_c11_2800mm	B	1.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D08_c11_2800mm	B	1.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D09_c14_3800mm	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D09_c14_3800mm	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
